ticker,company,sector,signal,buy_score,quality_score,composite_score,overheat_score,ev_to_sales,ev_to_fcf,net_debt_to_ebitda,current_ratio,revenue_growth,eps_growth,roic,gross_margin,fcf_margin,change_6m,change_1y
CMCSA,Comcast Corporation,Communication Services,WATCH,13.5,3,16.5,0,1.7101466402790466,9.663672137264754,2.176514971867118,0.8819651592888677,-0.00019396917506526255,0.29736211031175064,,0.6006612398651653,,-9.12934,-15.57497
SCHW,The Charles Schwab Corporation,Financial Services,WATCH,13.5,4,17.5,0,7.049525357362239,22.26356433470273,2.3662594618901296,17.831453689725603,0.06446401784684026,0.5599999999999999,,0.8467208672086721,,-2.03854,26.98358
NFLX,"Netflix, Inc.",Communication Services,WATCH,13.5,2,15.5,0,9.042042038764283,43.181970437223,0.17944880941642724,1.185709316059751,0.15851068919677527,0.2709359605911332,,0.48486575802475956,,-20.95139,6.28421
GE,GE Aerospace,Industrials,WATCH,13.5,1,14.5,1,7.611763590251448,48.09117266120595,0.6716405537594297,1.0414571575166751,0.1848224897938091,0.3509933774834437,,0.36884995860025277,,14.89558,68.73566
BKNG,Booking Holdings Inc.,Consumer Cyclical,WATCH,13.5,4,17.5,0,5.254588311550322,15.564845777704413,0.22901599824676747,1.3333333333333333,0.1338725304351489,-0.048239597622313654,,0.992904112642568,,-21.37086,-0.69784376
AAPL,Apple Inc.,Technology,WATCH,13.0,2,15.0,0,8.885207250311629,31.38519125846551,0.2954130959151256,0.9737446648641658,0.0642551178283274,0.22585924713584285,,0.4732528803972297,,13.14394,17.85229
META,"Meta Platforms, Inc.",Communication Services,WATCH,13.0,4,17.0,0,8.439651830140422,36.784208499338526,0.45321052432901743,2.5987666124868536,0.2216703849824621,-0.02559934985778135,,0.8199944269179861,,-12.93993,7.92856
QCOM,QUALCOMM Incorporated,Technology,WATCH,13.0,3,16.0,0,3.3732899862036687,11.70891240994894,0.5542045868219876,2.505396049684382,0.1365946306657769,-0.4433443344334434,,0.5510063075311477,,-16.67395,-12.09673
COP,ConocoPhillips,Energy,WATCH,13.0,0,13.0,0,2.717995153259834,9.524407269301856,0.677283990088722,1.297360507851654,0.0925803852633121,-0.1892583120204604,,0.2482135565536954,,24.11558,22.45048
JNJ,Johnson & Johnson,Healthcare,WATCH,13.0,4,17.0,2,6.500602009894578,31.084942893593258,0.7082559598494353,1.027676163027011,0.06048119251078011,0.8886986301369862,,0.7278460182816133,,35.78151,46.12927
ABNB,"Airbnb, Inc.",Consumer Cyclical,WATCH,12.5,4,16.5,0,6.143811112245731,16.24328117170626,-1.766116352201258,1.3771704886804894,0.10259412718429112,-0.02147971360381879,,0.8295890858589985,,8.03738,5.97895
ADP,"Automatic Data Processing, Inc.",Industrials,WATCH,12.5,2,14.5,0,4.172433890677515,19.257100900032633,0.3416469276856625,1.032305954270427,0.07073521293991439,0.09628008752735218,,0.48359361374167426,,-28.39721,-27.02852
AVGO,Broadcom Inc.,Technology,AVOID,12.5,3,15.5,4,24.40926339758648,57.64979846127772,1.333102083815103,1.9017735334242838,0.23874432853763525,1.0,,0.6709235230368179,,-5.29433,79.17302
MA,Mastercard Incorporated,Financial Services,WATCH,12.5,4,16.5,1,13.976794492604677,26.814478598584135,0.3898682777062494,1.0349705649767156,0.16416373770724607,0.18893678160919547,,0.8343142935561587,,-14.268,-4.00723
RTX,RTX Corporation,Industrials,WATCH,12.5,0,12.5,2,3.504567063293568,39.10770220516373,2.417715793441387,1.0263336962438758,0.09741385716762863,0.40223463687150823,,0.20077198288996986,,31.58262,61.92335
ETN,Eaton Corporation plc,Industrials,WATCH,12.0,1,13.0,0,5.454879044010493,33.48066189624329,1.6981162453711158,1.3185699039487726,0.10330412412573357,0.09958071278826008,,0.3758743806470417,,-0.35547656,27.09433
SYK,Stryker Corporation,Healthcare,WATCH,12.0,0,12.0,0,5.728091915233317,33.59018364300724,1.9426934097421202,1.8931229150628688,0.11157335693737552,0.08015267175572517,,,,-10.59698,-4.84547
