ticker,company,sector,price,signal,buy_score,quality_score,composite_score,overheat_score,ev_to_sales,ev_to_fcf,net_debt_to_ebitda,current_ratio,revenue_growth,eps_growth,roic,gross_margin,fcf_margin,change_6m,change_1y
AMGN,Amgen Inc.,Healthcare,349.77,WATCH,7,10,17,0,6.364728458348065,28.891938356172837,2.4335099266870017,1.1399819529993331,0.09924006701771182,0.8805774278215223,0.12683390978636636,0.7048872691669613,0.22029426962930732,25.26681,11.25708
ABBV,AbbVie Inc.,Healthcare,204.93,WATCH,5,10,15,0,6.965269385693264,22.779309963584833,2.24944347082642,0.6713483794959458,0.08566762523520431,-0.008333333333333342,0.10566431748811746,0.7333551340745585,0.3057717462393722,-6.84577,-2.02706
GOOGL,Alphabet Inc.,Communication Services,302.06,WATCH,10,10,20,2,9.17178030707563,50.43740579316463,0.22870756732227251,2.005333592875566,0.1512636492980361,0.3419434194341942,0.21813386891449113,0.596591247542839,0.1818448067033338,22.22222,80.14074
SAP,SAP SE,Technology,178.16,BUY,10,10,20,0,4.877472391032608,21.452250984821323,-0.011313591495823842,1.1742608695652175,0.07677902621722846,1.253731343283582,0.12895078097870386,0.7328260869565217,0.22736413043478257,-33.73256,-35.38841
PSA,Public Storage,Real Estate,271.32,WATCH,4,10,14,0,11.930498709296403,18.647868889002652,3.0608011548488836,0.7508749545186812,0.02736531266611239,-0.153558052434457,0.129606906407855,0.6052068017478032,0.6397781312336589,-3.34509,-8.00529
SPGI,S&P Global Inc.,Financial Services,428.87,WATCH,5,10,15,0,9.279918911645801,26.084464154875366,1.6185834957764782,0.8244074898520362,0.07939189189189189,0.1868932038834952,0.09216590705113631,0.7024647887323944,0.3557642149191445,-12.60749,-14.89661
VEEV,Veeva Systems Inc.,Healthcare,185.23,BUY,13,10,23,0,9.11431688558641,20.956678517356515,-1.3859902851197106,4.885373499745885,0.1633615729010831,0.2585034013605441,0.09480924483793825,0.7552604425672493,0.43491228240380975,-33.35612,-22.51088
PCTY,Paylocity Holding Corporation,Technology,115.09,BUY,13,10,23,0,3.7353160084806363,14.121726960874792,0.033684059485188114,0.06757614492570871,0.13740031300913003,0.10869565217391301,0.18267297522657305,0.6897494687694802,0.2645084428292364,-30.31606,-41.32851
QCOM,QUALCOMM Incorporated,Technology,128.35,BUY,11,10,21,0,3.2249891158312347,11.194150290886585,0.5542045868219876,2.505396049684382,0.1365946306657769,-0.4433443344334434,0.12011719371818702,0.5510063075311477,0.288095927964874,-26.04437,-19.82134
OR,OR Royalties Inc.,Basic Materials,34.36,WATCH,11,10,21,2,27.68703566863186,35.91325182977978,-0.5851715084126585,4.525741603334151,1.0258221618878722,10.846153846153847,0.09072194211709479,0.8883222986030654,0.7709420411123388,-6.85823,67.20195
AAPL,Apple Inc.,Technology,251.49,WATCH,7,10,17,0,8.589135692964232,30.339378573205543,0.2954130959151256,0.9737446648641658,0.0642551178283274,0.22585924713584285,0.5101222472800643,0.4732528803972297,0.2831018991453501,-0.32499703,13.93558
MCD,McDonald's Corporation,Consumer Cyclical,308.47,WATCH,2,10,12,0,10.197714804984193,38.1527362276649,3.6920133907221424,0.9545975693648245,0.03722993827160494,0.04803493449781666,0.17438080563111963,0.5741119583410824,0.26728659103589364,1.36037,0.91602055
JNJ,Johnson & Johnson,Healthcare,235.42,WATCH,7,10,17,0,6.322788757274957,30.234665520052797,0.7082559598494353,1.027676163027011,0.06048119251078011,0.8886986301369862,0.13711199990173623,0.7278460182816133,0.2091238202414192,33.23901,44.17294
LLY,Eli Lilly and Company,Healthcare,910.55,BUY,11,10,21,0,13.741311472253335,99.82667637650468,1.265011723014694,1.5791132054047916,0.44704913337788366,0.9557823129251701,0.3019606547698144,0.8379232574909097,0.13765169763267313,22.74045,5.27807
LRCX,Lam Research Corporation,Technology,233.31,AVOID,11,10,21,4,14.087868446691944,43.48108438184097,-0.22618995246349174,2.2561850641695127,0.23684089764599187,0.4329896907216494,0.38614021635177453,0.49801415644303365,0.32399993346475664,81.81889,199.15374
META,"Meta Platforms, Inc.",Communication Services,604.06,BUY,9,10,19,0,7.816521266552551,34.06829497178425,0.45321052432901743,2.5987666124868536,0.2216703849824621,-0.02559934985778135,0.17950279862720422,0.8199944269179861,0.22943682015863381,-20.58738,-2.38992
NOW,"ServiceNow, Inc.",Technology,110.95,BUY,13,10,23,0,8.70091128181955,25.24709353146853,-0.17335101093801789,0.9461840467298669,0.20884923525127458,0.22463768115942034,0.0897785229836507,0.7753426720891701,0.3446302153938846,-40.56356,-34.71609
NTAP,"NetApp, Inc.",Technology,101.3,BUY,11,10,21,0,3.155241327023401,13.15631700621504,0.61731843575419,1.372565386755704,0.048500319081046586,0.22573839662447243,0.18922563645542062,0.704575942763452,0.23982709792815618,-17.80933,6.49706
PAYC,"Paycom Software, Inc.",Technology,126.59,WATCH,6,10,16,0,3.281554491884778,16.57908237133711,-0.27248842737395224,1.0876238730347962,0.08947536055649957,-0.08958566629339294,0.1837883062364221,0.8076229468245845,0.1979334210654579,-41.77629,-43.40323
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,736.53,WATCH,6,10,16,0,5.306822620948344,18.653406732018134,-0.07084665360420749,4.125515062723194,0.00992113786790593,0.05305623471882645,0.08514543282920706,0.8535372902272205,0.2844961618640582,27.6526,11.42663
AON,Aon plc,Financial Services,325.97,WATCH,8,9,17,0,4.970516601129154,26.537739504039777,2.3449541284403668,1.109704641350211,0.09447063320168174,0.36494023904382455,0.12522249365447916,0.5590477853442757,0.18729992433502124,-7.8504,-17.08763
ARM,Arm Holdings plc American Depositary Shares,Technology,136.89,AVOID,10,9,19,4,30.706055257974736,147.8639011443299,-1.8615090735434574,5.426679280983917,0.23940612434271574,1.5,0.0926514529764703,0.9542924427317491,0.20766431171055447,-5.13514,9.64357
CRUS,"Cirrus Logic, Inc.",Technology,136.88,BUY,11,9,20,0,3.274630492289106,10.514898275794735,-1.0036641842298115,7.651562779940388,0.059918161541514574,0.2332015810276681,0.16362999251865154,0.528687810138488,0.3114276911101742,8.31685,33.43732
AMAT,"Applied Materials, Inc.",Technology,361.79,AVOID,1,9,10,4,10.175521439710781,46.350042282854375,-0.0028322880841594174,2.714949051979879,0.04386223138062997,0.003456221198156813,0.22560277175312163,0.487240377117743,0.21953640036861133,79.60187,133.48822
AZN,AstraZeneca PLC,Healthcare,184.07,WATCH,8,9,17,0,5.208044347976234,30.230282304196663,1.1929611068467552,0.9381389424176111,0.08629075509034083,1.907488986784141,0.1314327694557825,0.7823011466936883,0.1722790510379467,23.50376,28.35228
ADP,"Automatic Data Processing, Inc.",Industrials,209.71,WATCH,6,9,15,0,4.102126634204287,18.932610694223865,0.3416469276856625,1.032305954270427,0.07073521293991439,0.09628008752735218,0.24007048850659207,0.48359361374167426,0.21666988776438537,-28.05832,-29.83706
AXP,American Express Company,Financial Services,301.91,WATCH,7,9,16,0,2.7095621282312585,13.623833474098607,0.6454533778576933,0.2841469269229418,0.08440587054082829,0.09757834757834766,0.08293713681986266,0.832347385166037,0.19888397295685026,-11.32812,8.65544
CSCO,"Cisco Systems, Inc.",Technology,78.82,WATCH,4,9,13,0,5.656742506146917,26.002434183700473,1.3310588235294118,0.9550100581743054,0.05298961024478189,0.003921568627451071,0.12024576120336973,0.6481356047007824,0.21754665221661534,17.08259,29.27669
GSK,GSK plc,Healthcare,51.99,BUY,10,9,19,0,2.812004594851073,18.29875579681275,1.2053353530253303,0.8185685568697115,0.018329838092809792,1.1904761904761902,0.14253627815726203,0.7248599504086694,0.15367190130712952,29.39273,34.79388
