ticker,company,sector,price,signal,buy_score,quality_score,composite_score,overheat_score,ev_to_sales,ev_to_fcf,net_debt_to_ebitda,current_ratio,revenue_growth,eps_growth,roic,gross_margin,fcf_margin,change_6m,change_1y
WDAY,"Workday, Inc.",Technology,125.01,BUY,15,8,23,0,3.7122971343174203,12.76912575693194,1.6077616077616077,1.321574161179053,0.1309495619228037,0.3131313131313132,0.04936545217849099,0.7570142378559463,0.29072445561139026,-45.84091,-54.21718
HUBS,"HubSpot, Inc.",Technology,198.38,BUY,15,7,22,0,2.8698499277982936,13.283330469103086,-2.8001254064656678,1.6087235255166417,0.19170038320971342,8.777777777777779,0.02313550675311934,0.8365306064276197,0.21604897465086337,-49.94954,-69.97836
FICO,Fair Isaac Corporation,Technology,1098.59,BUY,10,12,22,0,12.817834376864637,32.390480878473376,2.9562649492596003,2.222539416220484,0.15914926469817633,0.2945139557266601,0.5320229245743281,0.841649666061117,0.39572843715893496,-36.91232,-50.10695
GILD,"Gilead Sciences, Inc.",Healthcare,129.58,BUY,10,12,22,0,5.899933553272349,17.150124574542968,1.0913865546218486,1.9670747150696497,0.02392710579397649,17.0,0.20311487872820239,0.793536019371763,0.3440169502925943,3.64742,26.41951
ANET,"Arista Networks, Inc.",Technology,141.97,BUY,11,11,22,0,18.123233515587184,33.34055533487429,-0.6619758418567123,2.8287221231383666,0.28595907526666764,0.2290748898678414,0.22426627836663163,0.6353721459541293,0.5435792335657422,8.06881,47.24124
LLY,Eli Lilly and Company,Healthcare,1004.92,BUY,11,11,22,0,13.625870984851106,72.4940806427146,1.1495522577257047,1.4968335426106896,0.44704913337788366,0.9557823129251701,0.32058285126451946,0.8350604502453304,0.18795839417573826,-1.9858,32.68197
PLTR,Palantir Technologies Inc.,Technology,133.99,AVOID,10,12,22,4,58.49168984417441,113.625661856063,-1.0338883453443422,6.906765180783962,0.5618339093221548,2.2857142857142856,0.22280514667614848,0.8407394164130062,0.5147753499404881,-22.99868,3.4512
NVDA,NVIDIA Corporation,Technology,225.32,WATCH,10,12,22,2,25.359515231223778,56.64366543919897,0.005582766063423543,3.905263812455306,0.654735357900948,0.6599326599326597,0.6288038473944232,0.7106808435754708,0.4477025812964833,18.48346,66.41064
PGR,The Progressive Corporation,Financial Services,199.73,BUY,15,7,22,0,1.397077204473022,7.608625396467723,0.5455751625315112,0.24557370634843,0.16317375204066734,0.3349480968858132,0.34567421274559645,0.28443947441990497,0.18361755661168574,-11.30207,-30.17166
NVAX,"Novavax, Inc.",Healthcare,9.06,BUY,17,4,21,0,2.6101024586727664,-16.0190115884157,-1.1698414368904793,2.4844172037107874,0.646938703709676,3.2113821138211383,-0.09498685994709831,0.8463622978914642,-0.16293779702115244,29.98565,34.6211
LNG,"Cheniere Energy, Inc.",Energy,241.84,BUY,16,5,21,0,3.5768179550743224,16.61161351565946,2.048299941807299,0.5719196919691969,0.24442190669371197,0.6987359550561798,0.11174157409147199,0.36211236168495037,0.2153203210333856,12.3844,2.87999
OR,OR Royalties Inc.,Basic Materials,36.42,WATCH,10,11,21,2,20.74009896102054,47.15549791952902,-0.2785104202355953,4.105691169681463,0.4752036964380065,7.615384615384616,0.12947354658926305,0.869199041830705,0.4398235598405423,12.40741,56.10802
NFLX,"Netflix, Inc.",Communication Services,87.02,BUY,11,10,21,0,7.9236441754991125,31.237025153255292,0.1501150057081776,1.4071526391702711,0.15851068919677527,0.2709359605911332,0.2307048991701021,0.4902873943761816,0.25366193280647176,-21.75868,-26.96601
KLAC,KLA Corporation,Technology,1804.32,AVOID,10,11,21,4,18.329333038092685,59.7953858518025,0.7384650783882625,3.0256730875596918,0.23887647752854163,0.4958353748162666,0.3628523205103157,0.6175375540376283,0.30653423800157914,59.06622,128.05718
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,286.98,BUY,12,9,21,0,8.835642067748827,59.06045985112374,-0.7133735228400585,3.1266292447062747,0.6519286393864009,2.0963302752293576,0.19659944904675783,0.8089471166148774,0.14960334020461766,-36.1074,0.58532824
CRM,"Salesforce, Inc.",Technology,173.51,BUY,11,10,21,0,4.206663606357616,12.12898946354673,0.7739882121807465,0.760331914435045,0.09579100145137881,0.21894409937888185,0.08755926406431387,0.7767609873570138,0.34682721252257676,-28.79012,-40.40529
APP,AppLovin Corporation,Technology,501.0,WATCH,9,12,21,2,27.426312407206005,38.401523406134345,0.1565616954357381,3.2438660262235492,0.16381999843711778,1.1025641025641026,0.6524037440557166,0.8836681271446444,0.714198551894555,-10.16676,38.26793
ABNB,"Airbnb, Inc.",Consumer Cyclical,132.85,BUY,10,11,21,0,5.873747577528268,16.33002541503627,-1.7775613556680951,1.4422512833048156,0.10259412718429112,-0.02147971360381879,0.19105743424741198,0.8291294378113386,0.3596900450699771,8.87559,-3.73188
ZS,"Zscaler, Inc.",Technology,161.05,BUY,13,8,21,0,8.849014091724998,28.14023368586799,4.804811840009381,1.9012505948399079,0.23311687443000206,0.30769230769230765,-0.03187314485668735,0.7655970781604087,0.3144612866583609,-46.21807,-35.96421
NU,Nu Holdings Ltd.,Financial Services,12.19,BUY,16,5,21,0,5.04908583942145,23.665379941375583,7.162976128017756,0.2620276636216052,0.4299308818507584,0.43902439024390244,0.04114419010235353,0.4374451733103404,0.2133532549204433,-22.94564,-6.59004
ISRG,"Intuitive Surgical, Inc.",Healthcare,421.12,BUY,11,10,21,0,13.901590663478894,51.90277054651943,-0.541940461305169,6.028205128205128,0.20505022688904587,0.22324159021406728,0.1649225387401401,0.6629213483146067,0.26783908675971685,-23.36445,-25.28034
CRUS,"Cirrus Logic, Inc.",Technology,159.71,BUY,11,9,20,0,3.744626760369464,11.748836972656772,-1.3244126104085912,7.365341936544469,0.05342715512080997,0.29807692307692296,0.16593829361752727,0.5277776526137503,0.3187231867362178,33.86137,50.34359
WDC,Western Digital Corporation,Technology,482.02,AVOID,11,9,20,4,14.079784124989386,57.08007491910499,-0.061151753892327895,1.4904032779814536,0.5070444831407314,3.03448275862069,0.27899813204598356,0.45427528232996517,0.24666723274178484,205.40455,864.23285
MU,"Micron Technology, Inc.",Technology,724.66,AVOID,11,9,20,4,14.0311915518161,79.31901778037157,-0.04690234511725586,2.89682428651371,0.48851101111066864,9.928571428571429,0.27685371992729485,0.5843699994838177,0.17689567955401844,193.58668,639.44898
NOVN,"Novan, Inc.",Healthcare,0.0941,BUY,17,3,20,0,-0.24354064128086747,0.163549635908522,0.29708091256908037,0.91314280787965,7.366052445074415,0.47337278106508873,-0.5010829716409705,0.687449701385065,-1.4890931424456777,-93.08088,-96.4084
MA,Mastercard Incorporated,Financial Services,494.2,BUY,8,12,20,0,13.191937122189811,25.272135583088733,0.5206047190693731,0.9809889247405599,0.16416373770724607,0.18893678160919547,0.5185308195069134,0.8296355225551725,0.5219953445888211,-9.4424,-15.27225
LRCX,Lam Research Corporation,Technology,284.72,AVOID,10,10,20,4,16.375259273369032,55.03885138979187,-0.1272298076564417,2.5364188297035057,0.23684089764599187,0.4329896907216494,0.4279036071545123,0.4997857424033794,0.29752182067531613,92.04101,237.2261
SAP,SAP SE,Technology,169.48,BUY,10,10,20,0,4.245887922259119,19.749619680244148,-0.7191413237924866,1.068924111431316,0.07677902621722846,1.253731343283582,0.1399210370844714,0.7319907878528199,0.21498580686626317,-30.83296,-42.82244
QCOM,QUALCOMM Incorporated,Technology,201.49,BUY,10,10,20,0,4.994840290421921,17.773593025115982,0.7374222088925545,2.366335619944712,0.1365946306657769,-0.4433443344334434,0.20115638701617036,0.5480027873311304,0.28102591768381774,15.81216,32.12459
ZTS,Zoetis Inc.,Healthcare,74.22,BUY,9,11,20,0,3.0883490291302977,13.748647433520599,-0.43267326732673267,3.153433999025816,0.022796024200518582,0.10237659963436939,0.217901505990986,0.7075402250499527,0.22462929855925967,-38.56977,-54.47743
BAH,Booz Allen Hamilton Holding Corporation,Industrials,72.67,BUY,15,5,20,0,0.715387947121069,8.743594103297813,-0.5314518877135739,1.8068115091015855,0.1236275424183466,0.5791757049891539,0.1808794437003839,0.5265098946612945,0.08181852207106079,-12.35074,-43.58357
BSX,Boston Scientific Corporation,Healthcare,52.68,BUY,12,8,20,0,4.259334990540868,25.51022394828588,1.9955910140667645,1.8998031065412382,0.1986624470054338,0.5555555555555555,0.09902025352871524,0.7041474654377881,0.16696580160077612,-48.69997,-50.32063
AVGO,Broadcom Inc.,Technology,425.19,AVOID,10,10,20,4,30.242484656278375,71.42670047040919,1.333102083815103,1.9017735334242838,0.23874432853763525,2.866141732283465,0.17642511797786753,0.6709235230368179,0.42340587563340265,24.15757,85.98924
NTAP,"NetApp, Inc.",Technology,119.93,BUY,10,10,20,0,3.7052285728126395,15.44958265692977,0.61731843575419,1.372565386755704,0.048500319081046586,0.22573839662447243,0.18922563645542062,0.704575942763452,0.23982709792815618,9.58516,19.29772
GSK,GSK plc,Healthcare,49.67,BUY,10,9,19,0,2.7445202104942035,17.917819657438756,1.3502248356969906,0.7918765883454456,0.041146098929117796,3.4761904761904763,0.13759938420734344,0.7273642464917632,0.15317266625991457,5.27766,31.96068
AMZN,"Amazon.com, Inc.",Consumer Cyclical,264.14,BUY,15,4,19,0,3.9708504232770045,-1193.144172330097,0.6295847508971432,1.1771531122552548,0.12377754683294695,0.2879858657243816,0.09646181360178514,0.5060408521546199,-0.003328055833791076,12.54847,28.47901
AON,Aon plc,Financial Services,317.22,BUY,10,9,19,0,4.681968199702619,23.411179851301117,2.0856847392524744,1.0662672698373885,0.09447063320168174,0.36494023904382455,0.13617409781085582,0.6598421594418392,0.19998856227839412,-9.39937,-12.3508
META,"Meta Platforms, Inc.",Communication Services,614.23,BUY,9,10,19,0,7.547897202034768,33.62523835286925,0.55841774439537,2.3477637798643936,0.2216703849824621,-0.02559934985778135,0.19955653989217054,0.8194061303573174,0.22447118806492278,0.78266006,-4.07752
ILMN,"Illumina, Inc.",Healthcare,142.54,WATCH,10,9,19,2,5.224618993395582,23.196463094034378,1.133553173948887,1.748403575989783,-0.00777676120768527,1.7126137841352407,0.137896747080665,0.6766112502846732,0.225233432020041,18.12381,70.46161
OWL,Blue Owl Capital Inc.,Financial Services,9.46,BUY,12,7,19,0,6.445855831808367,14.7729915652199,4.308023291525645,1.9065352000068043,0.25038957893237296,-0.4000000000000001,0.04763358820023741,0.6443768294063975,0.4363270501679474,-35.29412,-51.46229
MDB,"MongoDB, Inc.",Technology,312.16,BUY,12,7,19,0,9.756270726849657,47.270491865434046,57.45821940282183,4.6525371324100515,0.22794268264784995,0.4913294797687861,-0.04420303161642426,0.7174856532417241,0.2063924097642785,-11.4716,63.18678
ASML,ASML Holding N.V.,Technology,1501.81,AVOID,9,10,19,4,14.790217080881021,55.64179446409629,-0.411264304964262,1.3596115930599368,0.15583680372502468,0.2846753246753247,0.34901624464438763,0.526030861284492,0.26581128849869556,49.14,100.7499
EXPE,"Expedia Group, Inc.",Consumer Cyclical,217.73,BUY,7,12,19,0,1.4760928765407684,4.778874312846778,-0.9263822115384616,0.7309678752195021,0.07610839237455262,0.09904153354632585,0.2732949792990146,0.8731790916880892,0.3088787818864939,-17.73218,30.64323
TEAM,Atlassian Corporation,Technology,87.46,BUY,12,7,19,0,3.728511998756741,19.15842320210575,-3.9232100299073234,0.702270651554067,0.19655403348274664,0.1551724137931034,-0.09673893559309193,0.8385411222899226,0.1946147634084485,-42.38092,-60.3877
FTNT,"Fortinet, Inc.",Technology,122.78,WATCH,6,12,18,2,12.40981355186722,36.22564953685075,-0.6625234971419803,1.1533686601059803,0.14167702071929883,0.0701754385964913,0.33918667450446505,0.8067374639566777,0.34256980097053236,49.16778,17.39172
AMGN,Amgen Inc.,Healthcare,326.31,BUY,8,10,18,0,5.945462094634514,25.752834416656974,2.6108388584606517,1.2612702865157284,0.09924006701771182,0.8805774278215223,0.1385179519994957,0.7146194747301144,0.2308663193512004,-3.09735,19.78635
ADS,"Bread Financial Holdings, Inc.",Financial Services,56.8,BUY,11,7,18,0,0.7946383872746554,1.7202571147842056,0.33518776077885953,0.0,0.023759899958315966,0.9838709677419355,0.02514792899408284,0.6398727465535525,0.46193001060445393,0.0,-18.8919
APH,Amphenol Corporation,Technology,125.0,BUY,13,5,18,0,6.500963179147461,36.35806507329922,1.843094493747479,1.7141185777797587,0.5171224552806006,0.746268656716418,0.13689370524575623,0.3734548599047244,0.17880388205591458,-6.53507,43.87661
UBER,"Uber Technologies, Inc.",Technology,75.09,BUY,10,8,18,0,3.039491944046045,16.652842534952548,1.7648667122351334,1.0692070374385059,0.18279594342625857,0.02335456475583871,0.12142607751095938,0.4103041704695736,0.1825209082273176,-18.04191,-18.1937
V,Visa Inc.,Financial Services,325.75,BUY,6,12,18,0,14.780909361470705,30.020211805333965,0.4096138189798591,1.0876668042371715,0.1133997661860491,0.04928131416837787,0.3272747974412775,0.8128616914960374,0.4923652590234039,-1.29386,-10.78276
PM,Philip Morris International Inc.,Consumer Defensive,189.61,BUY,7,11,18,0,8.242748000626612,32.066036263828984,2.620786833502424,0.9763557318282359,0.07312952109403875,0.6048565121412802,0.24293286904332778,0.6730291856457715,0.2570554069361098,21.99061,11.24736
UBS,UBS Group AG,Financial Services,45.54,BUY,10,8,18,0,5.162513688274565,16.33030532887315,14.787008386426328,11.15953060049768,-0.20430366167221767,0.22641509433962256,0.004633782657906321,0.7190643800614832,0.31613087350833985,17.00925,37.83293
IBM,International Business Machines Corporation,Technology,219.3,BUY,10,8,18,0,3.858568015266068,20.317703102315274,3.661929555895865,0.7958405027306052,0.07620352811817761,0.7396630934150075,0.0891841207795599,0.5897026599526926,0.1899116251396729,-28.26066,-17.79127
MS,Morgan Stanley,Financial Services,192.51,BUY,15,3,18,0,4.694255580314588,-536.4525666549429,9.579811861541854,1.6140991305261105,0.1147704687575743,0.2860696517412937,0.01938555875492402,0.5799070045998619,-0.008750551068448941,17.48444,45.64231
MSFT,Microsoft Corporation,Technology,421.92,BUY,8,10,18,0,9.925639892796436,43.32469122826266,0.12370682577043078,1.2829483173692569,0.1493215623240672,0.1551433389544688,0.21313559289430895,0.6830928165442874,0.22909891822429174,-17.29978,-7.12132
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,436.95,BUY,7,11,18,0,8.763198746481056,28.94479609681158,-0.6761149997107653,3.0228057516878835,0.09568878685311386,8.432692307692307,0.1774414490054986,0.8628244567567788,0.30275558746970643,-0.04575089,-0.38755272
SPGI,S&P Global Inc.,Financial Services,403.15,WATCH,7,10,17,0,8.347005721551177,23.631821454283656,1.5282247765006385,0.6770219603642207,0.07939189189189189,0.1868932038834952,0.09892404996783481,0.7047043865225684,0.35321042593769875,-18.37416,-22.8362
PAYX,"Paychex, Inc.",Industrials,91.54,WATCH,6,11,17,0,5.686800678897344,16.739814165543525,1.1444661573991828,1.2600423906283713,0.055586078851145256,-0.019189765458422332,0.17765563316229493,0.7393192080583536,0.33971707347879626,-18.34077,-41.31299
